
Vgs               IS("/T0/D") (A)

W = 160n              
Vds               0                 500m              1                 1.5               2                 
    0                 3.28714y         74.7813p         124.465p          186.59p           268.404p        
   40m               -1.45677a        277.772p          458.105p          681.732p          959.369p        
   80m              -10.7409a         970.262p            1.58646n          2.3419n           3.26045n      
  120m              -46.2981a           3.16145n          5.12611n          7.50641n         10.3631n       
  160m             -173.594a            9.65535n         15.5252n          22.5567n          30.9029n       
  200m             -382.752a           27.9503n          44.4924n          64.0658n          87.0269n       
  240m             -667.736a           77.5013n         121.372n          172.366n          231.172n        
  280m               -1.03772f        205.928n          312.951n          433.607n          568.806n        
  320m               -1.5122f         511.924n          741.336n          987.901n            1.25274u      
  360m               -2.12242f          1.13412u          1.54981u          1.9711u           2.40232u      
  400m               -2.90397f          2.16614u          2.80858u          3.42249u          4.02319u      
  440m               -3.88977f          3.601u            4.48559u          5.28658u          6.03991u      
  480m               -5.11223f          5.37496u          6.50621u          7.48194u          8.3677u       
  520m               -6.60737f          7.42041u          8.80103u          9.94043u         10.9416u       
  560m               -8.4169f           9.68333u         11.3173u          12.6123u          13.716u        
  600m              -10.5891f          12.1227u          14.0157u          15.461u           16.6577u       
  640m              -13.1791f          14.7068u          16.8661u          18.4585u          19.7412u       
  680m              -16.2501f          17.4099u          19.8444u          21.5823u          22.946u        
  720m              -19.8736f          20.2103u          22.9302u          24.8134u          26.2543u       
  760m              -24.1305f          23.0897u          26.1066u          28.1355u          29.6513u       
  800m              -29.1125f          26.0318u          29.3585u          31.5345u          33.1236u       
  840m              -34.9228f          29.022u           32.6732u          34.998u           36.6595u       
  880m              -41.6781f          32.047u           36.039u           38.5151u          40.2487u       
  920m              -49.5094f          35.0949u          39.4461u          42.0761u          43.882u        
  960m              -58.5645f          38.154u           42.8854u          45.6723u          47.5512u       
    1               -69.0093f          41.2135u          46.349u           49.2962u          51.249u        
    1.04            -81.03f            44.2625u          49.83u            52.941u           54.9689u       
    1.08            -94.8358f          47.2902u          53.3219u          56.6005u          58.7049u       
    1.12           -110.661f           50.2855u          56.8192u          60.2693u          62.452u        
    1.16           -128.769f           53.2367u          60.3167u          63.9425u          66.2054u       
    1.2            -149.452f           56.1321u          63.8099u          67.6158u          69.9609u       
    1.24           -173.041f           58.9594u          67.2947u          71.2853u          73.7147u       
    1.28           -199.903f           61.7072u          70.7674u          74.9473u          77.4635u       
    1.32           -230.449f           64.3657u          74.2244u          78.5987u          81.204u        
    1.36           -265.137f           66.9274u          77.6629u          82.2367u          84.9336u       
    1.4            -304.48f            69.3884u          81.0799u          85.8585u          88.6498u       
    1.44           -349.049f           71.7474u          84.4729u          89.4619u          92.3504u       
    1.48           -399.479f           74.0055u          87.8394u          93.0448u          96.0331u       
    1.52           -456.48f            76.1652u          91.1772u          96.6051u          99.6963u       
    1.56           -520.84f            78.2296u          94.4844u         100.141u          103.338u        
    1.6            -593.438f           80.202u           97.7589u         103.651u          106.957u        
    1.64           -675.251f           82.0855u         100.999u          107.134u          110.552u        
    1.68           -767.363f           83.8834u         104.203u          110.588u          114.122u        
    1.72           -870.981f           85.5987u         107.369u          114.013u          117.665u        
    1.76           -987.444f           87.2342u         110.495u          117.406u          121.18u         
    1.8              -1.11824p         88.7926u         113.581u          120.767u          124.667u        
    1.84             -1.26502p         90.2768u         116.623u          124.096u          128.125u        
    1.88             -1.42961p         91.6891u         119.622u          127.391u          131.552u        
    1.92             -1.61404p         93.0322u         122.575u          130.651u          134.949u        
    1.96             -1.82055p         94.3084u         125.48u           133.876u          138.314u        
    2                -2.05165p         95.5201u         128.336u          137.065u          141.647u        

Vgs               IS("/T0/D") (A)
W = 34.85u            
Vds               0                 500m              1                 1.5               2                 
    0               748.347y            3.45485n          5.77184n          8.71506n         13.5622n       
   40m             -338.303a           13.9511n          23.1841n          34.8057n          50.0529n       
   80m               -2.49248f         53.4185n          88.1771n         131.466n          185.316n        
  120m              -10.6737f         191.566n          313.747n          464.101n          647.542n        
  160m              -39.8036f         639.662n            1.03903u          1.52451u          2.10914u      
  200m              -87.5649f           1.99484u          3.21358u          4.67786u          6.42145u      
  240m             -152.263f            5.86798u          9.36556u         13.5177u          18.4058u       
  280m             -234.978f           16.4633u          25.9146u          36.9576u          49.7601u       
  320m             -337.949f           44.2437u          67.9015u          94.8135u         125.228u        
  360m             -465.787f          112.207u          164.845u          222.134u          284.335u        
  400m             -626.416f          257.408u          356.758u          458.706u          564.054u        
  440m             -829.386f          511.892u          669.952u          822.365u          972.42u         
  480m               -1.08325p        879.508u            1.10006m          1.30072m          1.48996m      
  520m               -1.39568p          1.34228m          1.62515m          1.86929m          2.09088m      
  560m               -1.77494p          1.87852m          2.22303m          2.50643m          2.75475m      
  600m               -2.23067p          2.47086m          2.87689m          3.19657m          3.46755m      
  640m               -2.77416p          3.10666m          3.5748m           3.92882m          4.21962m      
  680m               -3.41837p          3.77668m          4.30812m          4.69532m          5.00397m      
  720m               -4.17815p          4.47391m          5.07031m          5.49005m          5.81521m      
  760m               -5.07033p          5.19279m          5.8562m           6.30825m          6.64902m      
  800m               -6.11398p          5.92876m          6.66161m          7.146m            7.50179m      
  840m               -7.3306p           6.67798m          7.48303m          8.00001m          8.37049m      
  880m               -8.74447p          7.43714m          8.31753m          8.86751m          9.25253m      
  920m              -10.3829p           8.20333m          9.1626m           9.74609m         10.1456m       
  960m              -12.2766p           8.97393m         10.0161m          10.6337m          11.0479m       
    1               -14.4602p           9.74654m         10.8761m          11.5286m          11.9576m       
    1.04            -16.9723p          10.5189m          11.7411m          12.4292m          12.8733m       
    1.08            -19.8566p          11.2888m          12.6095m          13.3341m          13.7937m       
    1.12            -23.1618p          12.054m           13.4803m          14.2421m          14.7177m       
    1.16            -26.9426p          12.8123m          14.3522m          15.1523m          15.6441m       
    1.2             -31.26p            13.5614m          15.2243m          16.0636m          16.5723m       
    1.24            -36.1826p          14.2987m          16.0957m          16.9752m          17.5012m       
    1.28            -41.7867p          15.0218m          16.9657m          17.8865m          18.4304m       
    1.32            -48.158p           15.7277m          17.8336m          18.7968m          19.3591m       
    1.36            -55.3916p          16.4141m          18.6987m          19.7054m          20.2867m       
    1.4             -63.5941p          17.0784m          19.5605m          20.6118m          21.2129m       
    1.44            -72.8841p          17.7188m          20.4184m          21.5157m          22.1371m       
    1.48            -83.3939p          18.3344m          21.2721m          22.4165m          23.0589m       
    1.52            -95.2708p          18.9246m          22.1209m          23.3139m          23.9779m       
    1.56           -108.679p           19.4899m          22.9646m          24.2074m          24.8939m       
    1.6            -123.8p             20.0308m          23.8027m          25.0969m          25.8065m       
    1.64           -140.838p           20.5484m          24.6349m          25.982m           26.7155m       
    1.68           -160.018p           21.0436m          25.4609m          26.8624m          27.6206m       
    1.72           -181.59p            21.5174m          26.2803m          27.7379m          28.5215m       
