
time (s)          getData("/OUT<1>" ?result "tran") (V)

    0                 1.65          
   50n                1.651         
  100n                1.656         
  150n                1.667         
  200n                1.687         
  250n                1.713         
  300n                1.745         
  350n                1.785         
  400n                1.83          
  450n                1.88          
  500n                1.936         
  550n                1.996         
  600n                2.056         
  650n                2.115         
  700n                2.17          
  750n                2.221         
  800n                2.268         
  850n                2.311         
  900n                2.351         
  950n                2.388         
    1u                2.42          
    1.05u             2.451         
    1.1u              2.477         
    1.15u             2.501         
    1.2u              2.524         
    1.25u             2.542         
    1.3u              2.56          
    1.35u             2.573         
    1.4u              2.585         
    1.45u             2.595         
    1.5u              2.602         
    1.55u             2.609         
    1.6u              2.612         
    1.65u             2.615         
    1.7u              2.615         
    1.75u             2.615         
    1.8u              2.613         
    1.85u             2.608         
    1.9u              2.604         
    1.95u             2.598         
    2u                2.591         
    2.05u             2.582         
    2.1u              2.573         
    2.15u             2.563         
    2.2u              2.552         
    2.25u             2.54          
    2.3u              2.528         
    2.35u             2.514         
    2.4u              2.501         
    2.45u             2.486         
    2.5u              2.472         
    2.55u             2.457         
    2.6u              2.441         
    2.65u             2.425         
    2.7u              2.409         
    2.75u             2.393         
    2.8u              2.376         
    2.85u             2.36          
    2.9u              2.343         
    2.95u             2.326         
    3u                2.309         
    3.05u             2.292         
    3.1u              2.275         
    3.15u             2.258         
    3.2u              2.241         
    3.25u             2.224         
    3.3u              2.207         
    3.35u             2.19          
    3.4u              2.174         
    3.45u             2.158         
    3.5u              2.141         
    3.55u             2.125         
    3.6u              2.11          
    3.65u             2.094         
    3.7u              2.079         
    3.75u             2.064         
    3.8u              2.049         
    3.85u             2.034         
    3.9u              2.02          
    3.95u             2.006         
    4u                1.992         
    4.05u             1.979         
    4.1u              1.966         
    4.15u             1.953         
    4.2u              1.94          
    4.25u             1.928         
    4.3u              1.916         
    4.35u             1.904         
    4.4u              1.893         
    4.45u             1.882         
    4.5u              1.871         
    4.55u             1.86          
    4.6u              1.85          
    4.65u             1.84          
    4.7u              1.831         
    4.75u             1.821         
    4.8u              1.812         
    4.85u             1.803         
    4.9u              1.795         
    4.95u             1.787         
    5u                1.779         
    5.05u             1.771         
    5.1u              1.764         
    5.15u             1.757         
    5.2u              1.75          
    5.25u             1.743         
    5.3u              1.737         
    5.35u             1.731         
    5.4u              1.725         
    5.45u             1.719         
    5.5u              1.714         
    5.55u             1.709         
    5.6u              1.704         
    5.65u             1.699         
    5.7u              1.694         
    5.75u             1.69          
    5.8u              1.686         
    5.85u             1.682         
    5.9u              1.678         
    5.95u             1.674         
    6u                1.671         
