
freq (Hz)         clip(VN2() 10.0 1000000.0) (V**2/Hz)

   10                 1.11375n      
   15.8489          707.221p        
   25.1189          436.394p        
   39.8107          256.015p        
   63.0957          143.727p        
  100                80.319p        
  158.489            46.1043p       
  251.189            27.3265p       
  398.107            16.6035p       
  630.957            10.2608p       
    1K                6.41641p      
    1.58489K          4.04991p      
    2.51189K          2.57888p      
    3.98107K          1.65853p      
    6.30957K          1.07973p      
   10K              713.477f        
   15.8489K         479.465f        
   25.1189K         327.808f        
   39.8107K         227.206f        
   63.0957K         157.84f         
  100K              109.375f        
  158.489K           77.5919f       
  251.189K           57.6528f       
  398.107K           43.4073f       
  630.957K           31.3403f       
    1M               21.6036f       
