
Device             Param            Noise Contribution    % Of Total

/I1/R10            thermal_noise    3.31467e-09           4.82      
/R11/R2            thermal_noise    2.84177e-09           4.14      
/I20/R0            rn               2.7308e-09            3.97      
/R11/R1            thermal_noise    2.21807e-09           3.23      
/I1/MP13           id               1.7448e-09            2.54      
/I1/R20/R2         thermal_noise    1.48602e-09           2.16      
/I1/R20/R1         thermal_noise    1.48602e-09           2.16      
/I1/MN4<7>         id               1.47753e-09           2.15      
/I1/MN4<6>         id               1.47753e-09           2.15      
/I1/MN4<5>         id               1.47753e-09           2.15      
/I1/MN4<4>         id               1.47753e-09           2.15      
/I1/MN4<3>         id               1.47753e-09           2.15      
/I1/MN4<2>         id               1.47753e-09           2.15      
/I1/MN4<1>         id               1.47753e-09           2.15      
/I1/MN4<0>         id               1.47753e-09           2.15      
/I1/MN32<1>        id               9.23399e-10           1.34      
/I1/MN32<0>        id               9.23399e-10           1.34      
/I1/I3/MP34<9>     id               4.78601e-10           0.70      
/I1/I3/MP34<8>     id               4.78601e-10           0.70      
/I1/I3/MP34<80>    id               4.78601e-10           0.70      
/I1/I3/MP34<7>     id               4.78601e-10           0.70      
/I1/I3/MP34<79>    id               4.78601e-10           0.70      
/I1/I3/MP34<78>    id               4.78601e-10           0.70      
/I1/I3/MP34<77>    id               4.78601e-10           0.70      
/I1/I3/MP34<76>    id               4.78601e-10           0.70      
/I1/I3/MP34<75>    id               4.78601e-10           0.70      
/I1/I3/MP34<74>    id               4.78601e-10           0.70      
/I1/I3/MP34<73>    id               4.78601e-10           0.70      
/I1/I3/MP34<72>    id               4.78601e-10           0.70      
/I1/I3/MP34<71>    id               4.78601e-10           0.70      
/I1/I3/MP34<70>    id               4.78601e-10           0.70      
/I1/I3/MP34<6>     id               4.78601e-10           0.70      
/I1/I3/MP34<69>    id               4.78601e-10           0.70      
/I1/I3/MP34<68>    id               4.78601e-10           0.70      
/I1/I3/MP34<67>    id               4.78601e-10           0.70      
/I1/I3/MP34<66>    id               4.78601e-10           0.70      
/I1/I3/MP34<65>    id               4.78601e-10           0.70      
/I1/I3/MP34<64>    id               4.78601e-10           0.70      
/I1/I3/MP34<63>    id               4.78601e-10           0.70      
/I1/I3/MP34<62>    id               4.78601e-10           0.70      
/I1/I3/MP34<61>    id               4.78601e-10           0.70      
/I1/I3/MP34<60>    id               4.78601e-10           0.70      
/I1/I3/MP34<5>     id               4.78601e-10           0.70      
/I1/I3/MP34<59>    id               4.78601e-10           0.70      
/I1/I3/MP34<58>    id               4.78601e-10           0.70      
/I1/I3/MP34<57>    id               4.78601e-10           0.70      
/I1/I3/MP34<56>    id               4.78601e-10           0.70      
/I1/I3/MP34<55>    id               4.78601e-10           0.70      
/I1/I3/MP34<54>    id               4.78601e-10           0.70      
/I1/I3/MP34<53>    id               4.78601e-10           0.70      
/I1/I3/MP34<52>    id               4.78601e-10           0.70      
/I1/I3/MP34<51>    id               4.78601e-10           0.70      
/I1/I3/MP34<50>    id               4.78601e-10           0.70      
/I1/I3/MP34<4>     id               4.78601e-10           0.70      
/I1/I3/MP34<49>    id               4.78601e-10           0.70      
/I1/I3/MP34<48>    id               4.78601e-10           0.70      
/I1/I3/MP34<47>    id               4.78601e-10           0.70      
/I1/I3/MP34<46>    id               4.78601e-10           0.70      
/I1/I3/MP34<45>    id               4.78601e-10           0.70      
/I1/I3/MP34<44>    id               4.78601e-10           0.70      
/I1/I3/MP34<43>    id               4.78601e-10           0.70      
/I1/I3/MP34<42>    id               4.78601e-10           0.70      
/I1/I3/MP34<41>    id               4.78601e-10           0.70      
/I1/I3/MP34<40>    id               4.78601e-10           0.70      
/I1/I3/MP34<3>     id               4.78601e-10           0.70      
/I1/I3/MP34<39>    id               4.78601e-10           0.70      
/I1/I3/MP34<38>    id               4.78601e-10           0.70      
/I1/I3/MP34<37>    id               4.78601e-10           0.70      
/I1/I3/MP34<36>    id               4.78601e-10           0.70      
/I1/I3/MP34<35>    id               4.78601e-10           0.70      
/I1/I3/MP34<34>    id               4.78601e-10           0.70      
/I1/I3/MP34<33>    id               4.78601e-10           0.70      
/I1/I3/MP34<32>    id               4.78601e-10           0.70      
/I1/I3/MP34<31>    id               4.78601e-10           0.70      
/I1/I3/MP34<30>    id               4.78601e-10           0.70      
/I1/I3/MP34<2>     id               4.78601e-10           0.70      
/I1/I3/MP34<29>    id               4.78601e-10           0.70      
/I1/I3/MP34<28>    id               4.78601e-10           0.70      
/I1/I3/MP34<27>    id               4.78601e-10           0.70      
/I1/I3/MP34<26>    id               4.78601e-10           0.70      
/I1/I3/MP34<25>    id               4.78601e-10           0.70      
/I1/I3/MP34<24>    id               4.78601e-10           0.70      
/I1/I3/MP34<23>    id               4.78601e-10           0.70      
/I1/I3/MP34<22>    id               4.78601e-10           0.70      
/I1/I3/MP34<21>    id               4.78601e-10           0.70      
/I1/I3/MP34<20>    id               4.78601e-10           0.70      
/I1/I3/MP34<1>     id               4.78601e-10           0.70      
/I1/I3/MP34<19>    id               4.78601e-10           0.70      
/I1/I3/MP34<18>    id               4.78601e-10           0.70      
/I1/I3/MP34<17>    id               4.78601e-10           0.70      
/I1/I3/MP34<16>    id               4.78601e-10           0.70      
/I1/I3/MP34<15>    id               4.78601e-10           0.70      
/I1/I3/MP34<14>    id               4.78601e-10           0.70      
/I1/I3/MP34<13>    id               4.78601e-10           0.70      
/I1/I3/MP34<12>    id               4.78601e-10           0.70      
/I1/I3/MP34<11>    id               4.78601e-10           0.70      
/I1/I3/MP34<10>    id               4.78601e-10           0.70      
/I1/I3/MP34<0>     id               4.78601e-10           0.70      
/I1/MP11           id               1.5726e-10            0.23      
/I15/R0            rn               3.40098e-11           0.05      
/I23/R0            rn               3.0449e-11            0.04      
/I19/R0            rn               1.58093e-11           0.02      
/I1/MN4<7>         fn               1.01695e-11           0.01      
/I1/MN4<6>         fn               1.01695e-11           0.01      
/I1/MN4<5>         fn               1.01695e-11           0.01      
/I1/MN4<4>         fn               1.01695e-11           0.01      
/I1/MN4<3>         fn               1.01695e-11           0.01      
/I1/MN4<2>         fn               1.01695e-11           0.01      
/I1/MN4<1>         fn               1.01695e-11           0.01      
/I1/MN4<0>         fn               1.01695e-11           0.01      
/I1/MN32<1>        fn               9.67508e-12           0.01      
/I1/MN32<0>        fn               9.67508e-12           0.01      
/R6/R1             thermal_noise    5.42209e-12           0.01      
/I1/R2/R2          thermal_noise    2.81021e-12           0.00      
/I1/MP13           fn               7.47395e-13           0.00      
/I1/MN0<7>         id               7.15453e-13           0.00      
/I1/MN0<6>         id               7.15453e-13           0.00      
/I1/MN0<5>         id               7.15453e-13           0.00      
/I1/MN0<4>         id               7.15453e-13           0.00      
/I1/MN0<3>         id               7.15453e-13           0.00      
/I1/MN0<2>         id               7.15453e-13           0.00      
/I1/MN0<1>         id               7.15453e-13           0.00      
/I1/MN0<0>         id               7.15453e-13           0.00      
/I1/I3/MP34<9>     fn               6.92803e-13           0.00      
/I1/I3/MP34<8>     fn               6.92803e-13           0.00      
/I1/I3/MP34<80>    fn               6.92803e-13           0.00      
/I1/I3/MP34<7>     fn               6.92803e-13           0.00      
/I1/I3/MP34<79>    fn               6.92803e-13           0.00      
/I1/I3/MP34<78>    fn               6.92803e-13           0.00      
/I1/I3/MP34<77>    fn               6.92803e-13           0.00      
/I1/I3/MP34<76>    fn               6.92803e-13           0.00      
/I1/I3/MP34<75>    fn               6.92803e-13           0.00      
/I1/I3/MP34<74>    fn               6.92803e-13           0.00      
/I1/I3/MP34<73>    fn               6.92803e-13           0.00      
/I1/I3/MP34<72>    fn               6.92803e-13           0.00      
/I1/I3/MP34<71>    fn               6.92803e-13           0.00      
/I1/I3/MP34<70>    fn               6.92803e-13           0.00      
/I1/I3/MP34<6>     fn               6.92803e-13           0.00      
/I1/I3/MP34<69>    fn               6.92803e-13           0.00      
/I1/I3/MP34<68>    fn               6.92803e-13           0.00      
/I1/I3/MP34<67>    fn               6.92803e-13           0.00      
/I1/I3/MP34<66>    fn               6.92803e-13           0.00      
/I1/I3/MP34<65>    fn               6.92803e-13           0.00      
/I1/I3/MP34<64>    fn               6.92803e-13           0.00      
/I1/I3/MP34<63>    fn               6.92803e-13           0.00      
/I1/I3/MP34<62>    fn               6.92803e-13           0.00      
/I1/I3/MP34<61>    fn               6.92803e-13           0.00      
/I1/I3/MP34<60>    fn               6.92803e-13           0.00      
/I1/I3/MP34<5>     fn               6.92803e-13           0.00      
/I1/I3/MP34<59>    fn               6.92803e-13           0.00      
/I1/I3/MP34<58>    fn               6.92803e-13           0.00      
/I1/I3/MP34<57>    fn               6.92803e-13           0.00      
/I1/I3/MP34<56>    fn               6.92803e-13           0.00      
/I1/I3/MP34<55>    fn               6.92803e-13           0.00      
/I1/I3/MP34<54>    fn               6.92803e-13           0.00      
/I1/I3/MP34<53>    fn               6.92803e-13           0.00      
/I1/I3/MP34<52>    fn               6.92803e-13           0.00      
/I1/I3/MP34<51>    fn               6.92803e-13           0.00      
/I1/I3/MP34<50>    fn               6.92803e-13           0.00      
/I1/I3/MP34<4>     fn               6.92803e-13           0.00      
/I1/I3/MP34<49>    fn               6.92803e-13           0.00      
/I1/I3/MP34<48>    fn               6.92803e-13           0.00      
/I1/I3/MP34<47>    fn               6.92803e-13           0.00      
/I1/I3/MP34<46>    fn               6.92803e-13           0.00      
/I1/I3/MP34<45>    fn               6.92803e-13           0.00      
/I1/I3/MP34<44>    fn               6.92803e-13           0.00      
/I1/I3/MP34<43>    fn               6.92803e-13           0.00      
/I1/I3/MP34<42>    fn               6.92803e-13           0.00      
/I1/I3/MP34<41>    fn               6.92803e-13           0.00      
/I1/I3/MP34<40>    fn               6.92803e-13           0.00      
/I1/I3/MP34<3>     fn               6.92803e-13           0.00      
/I1/I3/MP34<39>    fn               6.92803e-13           0.00      
/I1/I3/MP34<38>    fn               6.92803e-13           0.00      
/I1/I3/MP34<37>    fn               6.92803e-13           0.00      
/I1/I3/MP34<36>    fn               6.92803e-13           0.00      
/I1/I3/MP34<35>    fn               6.92803e-13           0.00      
/I1/I3/MP34<34>    fn               6.92803e-13           0.00      
/I1/I3/MP34<33>    fn               6.92803e-13           0.00      
/I1/I3/MP34<32>    fn               6.92803e-13           0.00      
/I1/I3/MP34<31>    fn               6.92803e-13           0.00      
/I1/I3/MP34<30>    fn               6.92803e-13           0.00      
/I1/I3/MP34<2>     fn               6.92803e-13           0.00      
/I1/I3/MP34<29>    fn               6.92803e-13           0.00      
/I1/I3/MP34<28>    fn               6.92803e-13           0.00      
/I1/I3/MP34<27>    fn               6.92803e-13           0.00      
