
Vbulk             OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"    OP("/MP6" "??"

sweep             type              reversed          region            vearly            fug               beff              rout              self_gain         vsat_marg         vdss              vgt               gmb               vsb               isb               idb               ibe               ise               ige               ide               qsrco             cbsbi             cbdbi             cgdbi             cgsbi             cggbi             cssbi             cddbi             qbi               qdi               qsi               qgi               igisl             igidl             igcd              igcs              igb               igs               igd               qinv              vgsteff           gbs               gbd               i4                i3                i1                cgbovl            cgdovl            cgsovl            ueff              gmoverid          pwr               ibd               ibs               ibulk             is                id                ron               cbb               cbs               cbd               cbg               csb               css               csd               csg               cdb               cds               cdd               cdg               cgb               cgs               cgd               cgg               qbs               qbd               qd                qg                qb                cjs               cjd               betaeff           gmbs              gds               gm                vfbeff            vdsat             vth               vgd               vdb               vgb               vbs               vds               vgs               isub              ids               
    1.4           1                 1                 0                   860.4m          0                    18.95f           187.3T          0                    43.39m           -43.39m           696.4m          0                     4.593m           -2.13a            -2.13a            -9.189f            4.595f        0                     4.595f           26.54a             1.127f            3.705f           -2.579f         -250.4y            229.4f            447.7y            398y              205.9f             26.54a            26.54a           206f            -0                -0                0                 0                 0                 0                 0                     1.578f          115.6p           -506.3a           -506.3a             -4.261a            2.13a             2.13a             1.315f            2.153f            2.153f           12.99m         0                    19.57z            -2.13a            -2.13a            -4.261a            2.13a             2.13a         in                  265.6f            -18.74f           -16.16f          -230.7f            -18.74f            20.89f          -198.9y             -2.153f          -18.74f          -149.2y             20.89f            -2.153f         -228.1f             -2.153f           -4.731f          235f              -85.94a           -85.94a           -26.54a           206f             -205.9f             18.74f            18.74f            56.85u         0                     5.34f         0                  -675.7m            -43.39m          -696.4m          0                     4.593m            4.593m           -4.593m        0                 0                 -0                -0                
    1.611         1                 1                 0                   315.6           0                   734.4f              1.528P        0                    44.31m           -44.31m           750m            0                  -206.5m             10.96a            10.96a           413.1f           -206.5f          0                  -206.5f             26.54a             1.127f            1.136f           -9.532a          -28.36y           200.6f             49.65y            43.67y           251.1f             26.54a            26.54a           251.2f          -0                -0                0                 0                 0                 0                 0                   173a               14.27p          -144.4z           -144.4z             21.92a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.85m         0                     4.527a           10.96a            10.96a            21.92a           -10.96a           -10.96a         in                  235.9f            -16.98f           -16.97f          -201.9f            -16.98f            19.13f           -22.53y            -2.153f          -16.98f           -16.55y            19.13f            -2.153f         -201.9f             -2.153f           -2.162f          206.2f              3.675f            3.675f          -26.54a           251.4f           -251.4f             16.98f            16.98f            56.21u         0                   654.5a          0                  -671.3m            -44.31m          -750m            0                  -206.5m           -206.5m            206.5m          0                 0                 -0                -0                
    1.822         1                 1                 0                     4.054K        0                     1.315p            9.708P        0                    45.04m           -45.04m           797m            0                  -417.6m             10.96a            10.96a           835.3f           -417.6f          0                  -417.6f             26.54a             1.127f            1.135f           -8.746a           -4.214y          180.4f              7.257y            6.328y          291.2f             26.54a            26.54a           291.3f          -0                -0                0                 0                 0                 0                 0                    25.03a             2.262p          -41.18y           -41.18y            21.93a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.72m         0                     9.158a           10.96a            10.96a            21.93a           -10.96a           -10.96a         in                  213f              -15.64f           -15.63f          -181.7f            -15.64f            17.79f            -3.348y           -2.153f          -15.64f            -2.419y           17.79f            -2.153f         -181.7f             -2.153f           -2.161f          186f                7.113f            7.113f          -26.54a           291.8f           -291.8f             15.64f            15.64f            55.64u         0                   103a            0                  -668.6m            -45.04m          -797m            0                  -417.6m           -417.6m            417.6m          0                 0                 -0                -0                
    2.033         1                 1                 0                    32.09K         0                     1.786p           51.04P         0                    45.65m           -45.65m           839.1m          0                  -628.7m             10.96a            10.96a             1.258p         -628.8f          0                  -628.8f             26.54a             1.127f            1.135f           -8.177a         -766.8e-27         165.3f              1.303y            1.129y          327.6f             26.54a            26.54a           327.7f          -0                -0                0                 0                 0                 0                 0                     4.452a          433.2f            -11.75e-27        -11.75e-27         21.93a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.6m          0                    13.79a            10.96a            10.96a            21.93a           -10.96a           -10.96a         in                  195.7f            -14.56f           -14.55f          -166.6f            -14.56f            16.71f          -608.4e-27          -2.153f          -14.56f          -434.3e-27          16.71f            -2.153f         -166.6f             -2.153f           -2.161f          170.9f             10.3f             10.3f            -26.54a           328.5f           -328.5f             14.56f            14.56f            55.13u         0                    19.59a         0                  -666.7m            -45.65m          -839.1m          0                  -628.7m           -628.7m            628.7m          0                 0                 -0                -0                
    2.244         1                 1                 0                   194.1K          0                     2.182p          231.1P          0                    46.18m           -46.18m           877.3m          0                  -839.9m             10.96a            10.96a             1.68p          -839.9f          0                  -839.9f             26.54a             1.127f            1.134f           -7.747a         -300.6e-27         153.5f            504.9e-27         168.6e-27         361.2f             26.54a            26.54a           361.3f          -0                -0                0                 0                 0                 0                 0                     1.713a           96.31f            -3.35e-30         -3.35e-30         21.93a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.49m         0                    18.42a            10.96a            10.96a            21.93a           -10.96a           -10.96a         in                  182.1f            -13.68f           -13.67f          -154.8f            -13.68f            15.83f          -504.6e-27          -2.153f          -13.68f          -168.3e-27          15.83f            -2.153f         -154.8f             -2.153f           -2.16f           159.1f             13.27f            13.27f           -26.54a           362.4f           -362.3f             13.68f            13.68f            54.67u         0                     4.328a        0                  -665.3m            -46.18m          -877.3m          0                  -839.9m           -839.9m            839.9m          0                 0                 -0                -0                
    2.456         1                 1                 0                   973K            0                     2.525p          925.8P          0                    46.64m           -46.64m           912.3m          0                    -1.051            10.96a            10.96a             2.102p           -1.051p        0                    -1.051p           26.54a             1.127f            1.134f           -7.412a         -300.8e-27         143.8f            500.3e-27       167e-27             392.6f             26.54a            26.54a           392.6f          -0                -0                0                 0                 0                 0                 0                     1.681a           24.18f          -955.4e-36        -955.4e-36          21.93a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.4m          0                    23.05a            10.96a            10.96a            21.93a           -10.96a           -10.96a         in                  171f              -12.94f           -12.93f          -145.1f            -12.94f            15.09f         -500e-27             -2.153f          -12.94f          -166.8e-27          15.09f            -2.153f         -145.1f             -2.153f           -2.16f           149.5f             16.08f            16.08f           -26.54a           394f             -394f               12.94f            12.94f            54.24u         0                     1.08a         0                  -664.3m            -46.64m          -912.3m          0                    -1.051            -1.051             1.051         0                 0                 -0                -0                
    2.667         1                 1                 0                     4.227M        0                     2.828p            3.349E        0                    47.06m           -47.06m           944.8m          0                    -1.262            10.96a            10.96a             2.524p           -1.262p        0                    -1.262p           26.54a             1.127f            1.134f           -7.147a         -301.2e-27         135.8f            496.4e-27         165.7e-27         422.1f             26.54a            26.54a           422.1f          -0                -0                0                 0                 0                 0                 0                     1.656a            6.724f         -272.5e-39        -272.5e-39          21.93a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.3m          0                    27.68a            10.96a            10.96a            21.93a           -10.96a           -10.96a         in                  161.7f            -12.3f            -12.29f          -137.1f            -12.3f             14.45f          -496.2e-27          -2.153f          -12.3f           -165.5e-27          14.45f            -2.153f         -137.1f             -2.153f           -2.16f           141.4f             18.74f            18.74f           -26.54a           423.8f           -423.7f             12.3f             12.3f             53.84u         0                   298.6z          0                  -663.5m            -47.06m          -944.8m          0                    -1.262            -1.262             1.262         0                 0                 -0                -0                
    2.878         1                 1                 0                    16.36M         0                     3.1p             11.11E         0                    47.44m           -47.44m           974.9m          0                    -1.473            10.96a            10.96a             2.946p           -1.473p        0                    -1.473p           26.54a             1.127f            1.134f           -6.933a         -301.5e-27         129f            493e-27             164.5e-27         450f               26.54a            26.54a           450.1f          -0                -0                0                 0                 0                 0                 0                     1.632a            2.039f          -77.72e-42        -77.72e-42         21.93a           -10.96a           -10.96a             1.315f            2.153f            2.153f           12.22m         0                    32.3a             10.96a            10.96a            21.93a           -10.96a           -10.96a         in                  153.8f            -11.75f           -11.74f          -130.3f            -11.75f            13.9f           -492.8e-27          -2.153f          -11.75f          -164.3e-27          13.9f             -2.153f         -130.3f             -2.153f           -2.16f           134.7f             21.28f            21.28f           -26.54a           452f             -451.9f             11.75f            11.75f            53.47u         0                    90.05z         0                  -662.8m            -47.44m          -974.9m          0                    -1.473            -1.473             1.473         0                 0                 -0                -0                
